model,aucroc,aucprc,base_n,n_added,how_added
./ckpt/AL_n10k_v1_topCertain_balanced_sample5000_ckpt_e199.pth,0.566883912930947,0.2902403836901297,10k,5000,_topCertain_balanced_
./ckpt/AL_n10k_v1_topCertain_posOnly_sample1000_ckpt_e199.pth,0.5529106954275218,0.2791124068746775,10k,1000,_topCertain_posOnly_
./ckpt/AL_n10k_v1_topCertain_balanced_sample1000_ckpt_e199.pth,0.5500369790742372,0.2813132684842747,10k,1000,_topCertain_balanced_
./ckpt/AL_n10k_v1_trustScore_mostcertain_balanced_sample1000_ckpt_e199.pth,0.5699913467000112,0.2893770220180846,10k,1000,_trustScore_mostcertain_balanced_
./ckpt/AL_n10k_v1_trustScore_mostcertain_posOnly_sample5000_ckpt_e199.pth,0.5559703692931749,0.2816866387956458,10k,5000,_trustScore_mostcertain_posOnly_
./ckpt/AL_n10k_v1_trustScore_mostcertain_posOnly_sample1000_ckpt_e199.pth,0.5564038217620106,0.2802345782692074,10k,1000,_trustScore_mostcertain_posOnly_
./ckpt/AL_n10k_v1_trustScore_leastcertain_balanced_sample1000_ckpt_e199.pth,0.5969075556358582,0.3344646127133713,10k,1000,_trustScore_leastcertain_balanced_
./ckpt/AL_n10k_v1_trustScore_leastcertain_balanced_sample5000_ckpt_e199.pth,0.6073624146042577,0.3143128096151031,10k,5000,_trustScore_leastcertain_balanced_
./ckpt/AL_n10k_v1_topCertain_posOnly_sample5000_ckpt_e199.pth,0.5636944851132764,0.2873844350516087,10k,5000,_topCertain_posOnly_
./ckpt/AL_n10k_v1_leastCertain_balanced_sample5000_ckpt_e199.pth,0.5548195987574299,0.2806420880917105,10k,5000,_leastCertain_balanced_
./ckpt/AL_n10k_v1_trustScore_mostcertain_balanced_sample5000_ckpt_e199.pth,0.5630597335202104,0.2857943912757443,10k,5000,_trustScore_mostcertain_balanced_
./ckpt/AL_n10k_v1_random_balanced_sample1000_pw20_ckpt_e199.pth,0.567241661585152,0.2895684389369711,10k_,1000,_random_balanced_
./ckpt/AL_n10k_v1_random_posOnly_sample1000_pw15_ckpt_e199.pth,0.5511178488138955,0.2744409064539451,10k_,1000,_random_posOnly_
./ckpt/AL_n10k_v1_leastCertain_balanced_sample1000_pw15_ckpt_e199.pth,0.570544633872458,0.2913183872921653,10k_,1000,_leastCertain_balanced_
./ckpt/AL_n10k_v1_random_posOnly_sample5000_ckpt_e199.pth,0.5763648415229979,0.2992127382444551,10k_,5000,_random_posOnly_
./ckpt/AL_n10k_v1_random_balanced_sample5000_ckpt_e199.pth,0.5698659065184202,0.282492355087308,10k_,5000,_random_balanced_
./ckpt/AL_n10k_v1_trustScore_mostcertain_posOnly_sample10000_ckpt_e199.pth,0.5630991092019637,0.2834953315528186,10k_,10000,_trustScore_mostcertain_posOnly_
./ckpt/AL_n10k_v1_leastCertain_balanced_sample1000_ckpt_e199.pth,0.5579593045380058,0.2834172345291332,10k_,1000.csv,_leastCertain_balanced_
./ckpt/AL_n10k_v1_topCertain_balanced_sample10000_ckpt_e199.pth,0.5684024101313699,0.2898003244496367,10k_,10000,_topCertain_balanced_
./ckpt/AL_n10k_v1_leastCertain_balanced_sample10000_ckpt_e199.pth,0.584859509225922,0.3175220790809006,10k_,10000,_leastCertain_balanced_
./ckpt/AL_n10k_v1_random_balanced_sample10000_ckpt_e199.pth,0.5930251357080304,0.314567156873725,10k_,10000,_random_balanced_
./ckpt/AL_n10k_v1_random_posOnly_sample10000_ckpt_e199.pth,0.5510596314746405,0.2751729447677474,10k_,10000,_random_posOnly_
./ckpt/AL_n10k_v1_topCertain_posOnly_sample10000_ckpt_e199.pth,0.5768418763066286,0.3045982630971375,10k_,10000,_topCertain_posOnly_
./ckpt/AL_n10k_v1_trustScore_leastcertain_balanced_sample10000_ckpt_e199.pth,0.5573584982808295,0.2844812369037715,10k_,10000,_trustScore_leastcertain_balanced_
./ckpt/AL_n10k_v1_trustScore_mostcertain_balanced_sample10000_ckpt_e199.pth,0.5784303679762197,0.3105039786423951,10k_,10000,_trustScore_mostcertain_balanced_
./ckpt/AL_pw5_n10k_v1_trustScore_leastcertain_balanced_sample5000_ckpt_e199.pth,0.5985844035258805,0.3068101873545454,10k_,5000,_trustScore_leastcertain_balanced_
./ckpt/AL_s41_n10k_v1_trustScore_leastcertain_balanced_sample10000_ckpt_e199.pth,0.6163439790197565,0.31788822081142776,10k_,10000,_trustScore_leastcertain_balanced_
