model,aucroc,aucprc,base_n,n_added,how_added
./ckpt/AL_n5k_v1_random_balanced_sample1000_ckpt_e199.pth,0.5532357146685978,0.2805762359159652,5k_,1000,_random_balanced_
./ckpt/AL_n5k_v1_random_balanced_sample5000_ckpt_e199.pth,0.5602266142533346,0.2791465984799733,5k_,5000,_random_balanced_
./ckpt/AL_n5k_v1_leastCertain_balanced_sample1000_ckpt_e199.pth,0.5594662411914513,0.2799759440270223,5k_,1000,_leastCertain_balanced_
./ckpt/AL_n5k_v1_random_balanced_sample10000_ckpt_e199.pth,0.5622532348328144,0.2785178576188764,5k_,10000,_random_balanced_
./ckpt/AL_n5k_v1_topCertain_balanced_sample10000_ckpt_e199.pth,0.5342472329788253,0.2671197330966267,5k_,10000,_topCertain_balanced_
./ckpt/AL_n5k_v1_topCertain_posOnly_sample10000_ckpt_e199.pth,0.5250216477818022,0.269166156009063,5k_,10000,_topCertain_posOnly_
./ckpt/AL_n5k_v1_random_posOnly_sample5000_ckpt_e199.pth,0.550291680991387,0.2754889469914596,5k_,5000,_random_posOnly_
./ckpt/AL_n5k_v1_topCertain_posOnly_sample1000_ckpt_e199.pth,0.5406487719259172,0.2686708636043404,5k_,1000,_topCertain_posOnly_
./ckpt/AL_n5k_v1_trustScore_mostcertain_posOnly_sample10000_ckpt_e199.pth,0.5565563870328337,0.2873943204168993,5k_,10000,_trustScore_mostcertain_posOnly_
./ckpt/AL_pw5_n5k_v1_leastCertain_balanced_sample5000_ckpt_e199.pth,0.5489062274569695,0.2764688625529419,5k_,5000,_leastCertain_balanced_
./ckpt/AL_n5k_v1_topCertain_balanced_sample5000_ckpt_e199.pth,0.5342472329788253,0.2671197330966267,5k_,5000,_topCertain_balanced_
./ckpt/AL_n5k_v1_random_posOnly_sample1000_ckpt_e199.pth,0.5524210707509272,0.2794363290649528,5k_,1000,_random_posOnly_
./ckpt/AL_n5k_v1_topCertain_posOnly_sample5000_ckpt_e199.pth,0.5250216477818022,0.269166156009063,5k_,5000,_topCertain_posOnly_
./ckpt/AL_n5k_v1_trustScore_mostcertain_balanced_sample10000_ckpt_e199.pth,0.5464282930486053,0.2805548737706986,5k_,10000,_trustScore_mostcertain_balanced_
./ckpt/AL_pw20_n5k_v1_trustScore_mostcertain_balanced_sample1000_ckpt_e199.pth,0.5508578977419348,0.2756389786333237,5k_,1000,_trustScore_mostcertain_balanced_
./ckpt/AL_pw16_n5k_v1_topCertain_balanced_sample5000_ckpt_e199.pth,0.5394563695720559,0.2730767855692745,5k_,5000,_topCertain_balanced_
./ckpt/AL_n5k_v1_topCertain_balanced_sample1000_ckpt_e199.pth,0.5444343092670826,0.2742386517333138,5k_,1000,_topCertain_balanced_
./ckpt/AL_n5k_v1_random_posOnly_sample10000_ckpt_e199.pth,0.5389423637350658,0.269170734257819,5k_,10000,_random_posOnly_
./ckpt/AL_pw15_n5k_v1_topCertain_balanced_sample10000_ckpt_e199.pth,0.5358041872108229,0.2737751758564305,5k_,10000,_topCertain_balanced_
./ckpt/AL_n5k_v1_trustScore_leastcertain_balanced_sample10000_ckpt_e199.pth,0.5577385015048992,0.279570779365129,5k_,10000,_trustScore_leastcertain_balanced_
./ckpt/AL_n5k_v1_leastCertain_balanced_sample5000_ckpt_e199.pth,0.5394996933722278,0.2681941559114518,5k_,5000,_leastCertain_balanced_
./ckpt/AL_pw1_n5k_v1_trustScore_leastcertain_balanced_sample1000_ckpt_e199.pth,0.5695982935846731,0.2890236323836974,5k_,1000,_trustScore_leastcertain_balanced_
./ckpt/AL_seed43_n5k_v1_topCertain_posOnly_sample10000_ckpt_e199.pth,0.5504647596091389,0.2704603110568606,5k_,10000,_topCertain_posOnly_
./ckpt/AL_pw20_n5k_v1_trustScore_mostcertain_balanced_sample5000_ckpt_e199.pth,0.5477022407050791,0.2792935834568719,5k_,5000,_trustScore_mostcertain_balanced_
./ckpt/AL_n5k_v1_trustScore_mostcertain_posOnly_sample5000_ckpt_e199.pth,0.5646782628963559,0.2840189244526934,5k_,5000,_trustScore_mostcertain_posOnly_
